SSN,Mobile No.,Sex,Date-of-Birth,Hand-preference,Income
251317325,7338086280,Male,8/8/12,Left,51629
486745427,1884587722,Female,10/30/12,Right,74273
972356006,8278276422,Male,7/16/12,Left,75224
265537879,1640620058,Other,9/19/10,Right,-63355
358754935,5880772593,,2/23/12,Left,63216
311090272,4161741106,Female,7/15/10,Right,55455
945494777,6843369717,Male,1/6/13,Left,96466
102335858,2362876118,Female,5/30/11,Right,88525
366703237,5246697916,Male,10/9/12,Left,69108
857136671,4252882959,Female,7/12/11,right,57069
569031553,2254309763,Other,5/25/12,Left,78668
867110039,3385258614,Female,1/2/13,Right,61023
605984190,8806387584,Male,11/27/10,Left,90530
236891697,3664264615,Female,4/4/11,Right,96410
218235038,1351516355,Female,6/23/11,Left,81160
166446273,7617921762,Female,5/3/12,Right,62435
368873214,5505084247,,11/3/10,Left,51950
843378762,9981633440,,2/15/12,Right,87001
874511441,3650275803,,10/29/12,Left,68682
114850846,1615893230,Female,10/31/12,Right,88987
229643393,2597291713,Male,11/20/11,Left,84383
973196435,1046399278,Female,1/18/13,Right,79991
677852799,4605375704,Male,7/8/11,Left,59505
569031553,2254309763,Other,5/25/12,Left,78668
31853608,4207132946,Female,5/31/11,Right,99984
626593560,9756658474,Male,10/18/11,Left,71181
322408359,8902066180,Female,6/17/11,Right,84153
