SSN,Date Registered,Tenure
251317325,8/8/12,51629
486745427,10/30/12,74273
972356006,7/16/12,75224
265537879,9/19/10,-63355
358754935,2/23/12,63216
311090272,7/15/10,55455
945494777,1/6/13,96466
102335858,5/30/11,88525
366703237,10/9/12,69108
857136671,7/12/11,57069
569031553,5/25/12,78668
867110039,1/2/13,61023
605984190,11/27/10,90530
236891697,4/4/11,96410
218235038,6/23/11,81160
166446273,5/3/12,62435
368873214,11/3/10,51950
843378762,2/15/12,87001
874511441,10/29/12,68682
114850846,10/31/12,88987
229643393,11/20/11,84383
973196435,1/18/13,79991
677852799,7/8/11,59505
569031553,5/25/12,78668
,,
,,
,,
